Observe,Describe,Awarenness,Nonjudge,Nonreact,EI,Depression,MASS,Openness,Extraversion,Neurotic
22,23,24,12,22,125,53,87,16,14,16
31,35,26,12,22,148,77,63,18,18,16
19,31,24,16,24,132,98,54,15,14,18
31,20,10,13,15,113,130,43,16,22,23
21,23,23,11,14,136,77,66,21,16,32
23,18,18,11,17,126,106,69,22,11,34
30,22,15,13,21,122,56,55,24,18,18
24,20,20,11,14,119,74,71,16,12,24
26,22,14,11,24,132,86,77,23,18,23
23,17,17,9,18,118,105,32,22,16,27
25,24,16,8,22,135,113,82,13,21,30
23,25,25,20,27,143,128,52,15,18,17
30,25,23,10,22,132,106,55,14,11,24
23,24,24,15,19,125,94,75,20,15,18
11,24,15,7,22,132,96,43,15,15,21
16,14,20,14,14,124,97,45,23,15,25
31,30,28,15,21,147,74,83,42,21,17
23,19,15,8,19,118,100,55,38,20,25
26,22,16,8,22,125,106,63,20,14,22
22,19,20,10,24,133,115,36,23,11,19
20,20,12,11,17,115,123,45,19,18,30
24,21,18,13,20,120,88,77,15,11,30
26,24,28,8,24,119,105,66,17,18,23
17,20,16,8,18,123,95,43,34,24,23
26,31,23,14,16,123,95,57,16,14,24
19,20,18,14,15,99,108,55,22,16,25
33,31,27,17,19,131,84,76,17,19,15
29,13,15,9,26,140,77,61,33,15,16
19,12,16,12,13,100,101,37,24,14,23
19,15,20,14,11,112,118,42,15,17,30
21,26,25,10,20,120,93,76,14,16,16
11,18,27,10,13,104,100,70,17,19,21
28,32,29,10,13,118,73,76,14,18,22
